Address,USB0::0x2A8D::0x5001::MY58002415::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002415,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-06 11:51:23.393,,,,,,,,,,,,,,,,
Stop Time,2026-02-06 11:53:06.562,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
2026-02-06 11:51:28.429,48,2026-02-06 11:51:28.429,0.17967006,,,,,,,,,,,,,,
2026-02-06 11:51:28.529,49,2026-02-06 11:51:28.529,0.220823904,,,,,,,,,,,,,,
2026-02-06 11:51:28.629,50,2026-02-06 11:51:28.629,0.261691004,,,,,,,,,,,,,,
2026-02-06 11:51:28.729,51,2026-02-06 11:51:28.729,0.302356545,,,,,,,,,,,,,,
2026-02-06 11:51:28.829,52,2026-02-06 11:51:28.829,0.342810368,,,,,,,,,,,,,,
2026-02-06 11:51:28.929,53,2026-02-06 11:51:28.929,0.383045714,,,,,,,,,,,,,,
2026-02-06 11:51:29.118,54,2026-02-06 11:51:29.118,0.458630317,,,,,,,,,,,,,,
2026-02-06 11:51:29.155,55,2026-02-06 11:51:29.155,0.473159625,,,,,,,,,,,,,,
2026-02-06 11:51:29.229,56,2026-02-06 11:51:29.229,0.502558911,,,,,,,,,,,,,,
2026-02-06 11:51:29.329,57,2026-02-06 11:51:29.329,0.542008486,,,,,,,,,,,,,,
2026-02-06 11:51:29.429,58,2026-02-06 11:51:29.429,0.581292878,,,,,,,,,,,,,,
2026-02-06 11:51:29.572,59,2026-02-06 11:51:29.572,0.637173411,,,,,,,,,,,,,,
2026-02-06 11:51:29.629,60,2026-02-06 11:51:29.629,0.659270643,,,,,,,,,,,,,,
2026-02-06 11:51:29.729,61,2026-02-06 11:51:29.729,0.698003064,,,,,,,,,,,,,,
2026-02-06 11:51:29.829,62,2026-02-06 11:51:29.829,0.736546325,,,,,,,,,,,,,,
2026-02-06 11:51:29.929,63,2026-02-06 11:51:29.929,0.774922704,,,,,,,,,,,,,,
2026-02-06 11:51:30.029,64,2026-02-06 11:51:30.029,0.813140497,,,,,,,,,,,,,,
2026-02-06 11:51:30.150,65,2026-02-06 11:51:30.150,0.85904376,,,,,,,,,,,,,,
2026-02-06 11:51:30.229,66,2026-02-06 11:51:30.229,0.889054035,,,,,,,,,,,,,,
2026-02-06 11:51:30.329,67,2026-02-06 11:51:30.329,0.926763467,,,,,,,,,,,,,,
2026-02-06 11:51:30.429,68,2026-02-06 11:51:30.429,0.964300644,,,,,,,,,,,,,,
2026-02-06 11:51:30.529,69,2026-02-06 11:51:30.529,1.0016685,,,,,,,,,,,,,,
2026-02-06 11:51:30.629,70,2026-02-06 11:51:30.629,1.03888141,,,,,,,,,,,,,,
2026-02-06 11:51:30.729,71,2026-02-06 11:51:30.729,1.07593909,,,,,,,,,,,,,,
2026-02-06 11:51:30.829,72,2026-02-06 11:51:30.829,1.11281124,,,,,,,,,,,,,,
2026-02-06 11:51:30.929,73,2026-02-06 11:51:30.929,1.14954479,,,,,,,,,,,,,,
2026-02-06 11:51:31.138,74,2026-02-06 11:51:31.138,1.22554727,,,,,,,,,,,,,,
2026-02-06 11:51:31.223,75,2026-02-06 11:51:31.223,1.25658319,,,,,,,,,,,,,,
2026-02-06 11:51:31.260,76,2026-02-06 11:51:31.260,1.26978407,,,,,,,,,,,,,,
2026-02-06 11:51:31.329,77,2026-02-06 11:51:31.329,1.29492457,,,,,,,,,,,,,,
2026-02-06 11:51:31.429,78,2026-02-06 11:51:31.429,1.33088594,,,,,,,,,,,,,,
2026-02-06 11:51:31.644,79,2026-02-06 11:51:31.644,1.40757188,,,,,,,,,,,,,,
2026-02-06 11:51:31.729,80,2026-02-06 11:51:31.729,1.43787578,,,,,,,,,,,,,,
2026-02-06 11:51:31.829,81,2026-02-06 11:51:31.829,1.4732373,,,,,,,,,,,,,,
2026-02-06 11:51:31.929,82,2026-02-06 11:51:31.929,1.50842017,,,,,,,,,,,,,,
2026-02-06 11:51:32.116,83,2026-02-06 11:51:32.116,1.57365905,,,,,,,,,,,,,,
2026-02-06 11:51:32.152,84,2026-02-06 11:51:32.152,1.58638615,,,,,,,,,,,,,,
2026-02-06 11:51:32.229,85,2026-02-06 11:51:32.229,1.61317953,,,,,,,,,,,,,,
2026-02-06 11:51:32.329,86,2026-02-06 11:51:32.329,1.64780117,,,,,,,,,,,,,,
2026-02-06 11:51:32.429,87,2026-02-06 11:51:32.429,1.68228413,,,,,,,,,,,,,,
2026-02-06 11:51:32.529,88,2026-02-06 11:51:32.529,1.71661655,,,,,,,,,,,,,,
2026-02-06 11:51:32.680,89,2026-02-06 11:51:32.680,1.76815559,,,,,,,,,,,,,,
2026-02-06 11:51:32.747,90,2026-02-06 11:51:32.747,1.79071986,,,,,,,,,,,,,,
2026-02-06 11:51:32.829,91,2026-02-06 11:51:32.829,1.81877715,,,,,,,,,,,,,,
2026-02-06 11:51:32.929,92,2026-02-06 11:51:32.929,1.85255833,,,,,,,,,,,,,,
2026-02-06 11:51:33.066,93,2026-02-06 11:51:33.066,1.89828267,,,,,,,,,,,,,,
2026-02-06 11:51:33.129,94,2026-02-06 11:51:33.129,1.91967106,,,,,,,,,,,,,,
2026-02-06 11:51:33.229,95,2026-02-06 11:51:33.229,1.95301628,,,,,,,,,,,,,,
2026-02-06 11:51:33.329,96,2026-02-06 11:51:33.329,1.98622532,,,,,,,,,,,,,,
2026-02-06 11:51:33.429,97,2026-02-06 11:51:33.429,2.01929892,,,,,,,,,,,,,,
2026-02-06 11:51:33.570,98,2026-02-06 11:51:33.570,2.06561953,,,,,,,,,,,,,,
2026-02-06 11:51:33.633,99,2026-02-06 11:51:33.633,2.08609558,,,,,,,,,,,,,,
2026-02-06 11:51:33.729,100,2026-02-06 11:51:33.729,2.11772345,,,,,,,,,,,,,,
2026-02-06 11:51:33.829,101,2026-02-06 11:51:33.829,2.15027237,,,,,,,,,,,,,,
2026-02-06 11:51:33.930,102,2026-02-06 11:51:33.930,2.18268205,,,,,,,,,,,,,,
2026-02-06 11:51:34.030,103,2026-02-06 11:51:34.030,2.21494683,,,,,,,,,,,,,,
2026-02-06 11:51:34.157,104,2026-02-06 11:51:34.157,2.25603373,,,,,,,,,,,,,,
2026-02-06 11:51:34.230,105,2026-02-06 11:51:34.230,2.27909021,,,,,,,,,,,,,,
2026-02-06 11:51:34.330,106,2026-02-06 11:51:34.330,2.31096956,,,,,,,,,,,,,,
2026-02-06 11:51:34.430,107,2026-02-06 11:51:34.430,2.34271278,,,,,,,,,,,,,,
2026-02-06 11:51:34.530,108,2026-02-06 11:51:34.530,2.37433056,,,,,,,,,,,,,,
2026-02-06 11:51:34.688,109,2026-02-06 11:51:34.688,2.42410696,,,,,,,,,,,,,,
2026-02-06 11:51:34.730,110,2026-02-06 11:51:34.730,2.43716163,,,,,,,,,,,,,,
2026-02-06 11:51:34.830,111,2026-02-06 11:51:34.830,2.46839355,,,,,,,,,,,,,,
2026-02-06 11:51:34.930,112,2026-02-06 11:51:34.930,2.49948272,,,,,,,,,,,,,,
2026-02-06 11:51:35.030,113,2026-02-06 11:51:35.030,2.53045916,,,,,,,,,,,,,,
2026-02-06 11:51:35.133,114,2026-02-06 11:51:35.133,2.56243743,,,,,,,,,,,,,,
2026-02-06 11:51:35.230,115,2026-02-06 11:51:35.230,2.59203246,,,,,,,,,,,,,,
2026-02-06 11:51:35.330,116,2026-02-06 11:51:35.330,2.62262826,,,,,,,,,,,,,,
2026-02-06 11:51:35.430,117,2026-02-06 11:51:35.430,2.65309837,,,,,,,,,,,,,,
2026-02-06 11:51:35.530,118,2026-02-06 11:51:35.530,2.68345235,,,,,,,,,,,,,,
2026-02-06 11:51:35.693,119,2026-02-06 11:51:35.693,2.7328719,,,,,,,,,,,,,,
2026-02-06 11:51:35.751,120,2026-02-06 11:51:35.751,2.75032752,,,,,,,,,,,,,,
2026-02-06 11:51:35.848,121,2026-02-06 11:51:35.848,2.77925696,,,,,,,,,,,,,,
2026-02-06 11:51:35.930,122,2026-02-06 11:51:35.930,2.80363373,,,,,,,,,,,,,,
2026-02-06 11:51:36.069,123,2026-02-06 11:51:36.069,2.84498838,,,,,,,,,,,,,,
2026-02-06 11:51:36.130,124,2026-02-06 11:51:36.130,2.86298514,,,,,,,,,,,,,,
2026-02-06 11:51:36.230,125,2026-02-06 11:51:36.230,2.8924838,,,,,,,,,,,,,,
2026-02-06 11:51:36.330,126,2026-02-06 11:51:36.330,2.92184689,,,,,,,,,,,,,,
2026-02-06 11:51:36.430,127,2026-02-06 11:51:36.430,2.95110417,,,,,,,,,,,,,,
2026-02-06 11:51:36.614,128,2026-02-06 11:51:36.614,3.00471844,,,,,,,,,,,,,,
2026-02-06 11:51:36.650,129,2026-02-06 11:51:36.650,3.01529209,,,,,,,,,,,,,,
2026-02-06 11:51:36.730,130,2026-02-06 11:51:36.730,3.03817535,,,,,,,,,,,,,,
2026-02-06 11:51:36.830,131,2026-02-06 11:51:36.830,3.06696271,,,,,,,,,,,,,,
2026-02-06 11:51:36.930,132,2026-02-06 11:51:36.930,3.09563059,,,,,,,,,,,,,,
2026-02-06 11:51:37.030,133,2026-02-06 11:51:37.030,3.12419735,,,,,,,,,,,,,,
2026-02-06 11:51:37.240,134,2026-02-06 11:51:37.240,3.18392248,,,,,,,,,,,,,,
2026-02-06 11:51:37.330,135,2026-02-06 11:51:37.330,3.20918532,,,,,,,,,,,,,,
2026-02-06 11:51:37.430,136,2026-02-06 11:51:37.430,3.2372755,,,,,,,,,,,,,,
2026-02-06 11:51:37.530,137,2026-02-06 11:51:37.530,3.2652614,,,,,,,,,,,,,,
2026-02-06 11:51:37.630,138,2026-02-06 11:51:37.630,3.29313306,,,,,,,,,,,,,,
2026-02-06 11:51:37.767,139,2026-02-06 11:51:37.767,3.3312089,,,,,,,,,,,,,,
2026-02-06 11:51:37.830,140,2026-02-06 11:51:37.830,3.34853172,,,,,,,,,,,,,,
2026-02-06 11:51:37.930,141,2026-02-06 11:51:37.930,3.37606735,,,,,,,,,,,,,,
2026-02-06 11:51:38.088,142,2026-02-06 11:51:38.088,3.41936588,,,,,,,,,,,,,,
2026-02-06 11:51:38.130,143,2026-02-06 11:51:38.130,3.43079257,,,,,,,,,,,,,,
2026-02-06 11:51:38.230,144,2026-02-06 11:51:38.230,3.45799403,,,,,,,,,,,,,,
2026-02-06 11:51:38.390,145,2026-02-06 11:51:38.390,3.50127647,,,,,,,,,,,,,,
2026-02-06 11:51:38.430,146,2026-02-06 11:51:38.430,3.51206926,,,,,,,,,,,,,,
2026-02-06 11:51:38.530,147,2026-02-06 11:51:38.530,3.53894086,,,,,,,,,,,,,,
2026-02-06 11:51:38.713,148,2026-02-06 11:51:38.713,3.58792579,,,,,,,,,,,,,,
2026-02-06 11:51:38.750,149,2026-02-06 11:51:38.750,3.59764845,,,,,,,,,,,,,,
2026-02-06 11:51:38.830,150,2026-02-06 11:51:38.830,3.61891593,,,,,,,,,,,,,,
2026-02-06 11:51:38.930,151,2026-02-06 11:51:38.930,3.64537045,,,,,,,,,,,,,,
2026-02-06 11:51:39.030,152,2026-02-06 11:51:39.030,3.67170956,,,,,,,,,,,,,,
2026-02-06 11:51:39.141,153,2026-02-06 11:51:39.141,3.70095256,,,,,,,,,,,,,,
2026-02-06 11:51:39.230,154,2026-02-06 11:51:39.230,3.72405545,,,,,,,,,,,,,,
2026-02-06 11:51:39.330,155,2026-02-06 11:51:39.330,3.75007128,,,,,,,,,,,,,,
2026-02-06 11:51:39.430,156,2026-02-06 11:51:39.430,3.77598459,,,,,,,,,,,,,,
2026-02-06 11:51:39.530,157,2026-02-06 11:51:39.530,3.80179953,,,,,,,,,,,,,,
2026-02-06 11:51:39.713,158,2026-02-06 11:51:39.713,3.84885247,,,,,,,,,,,,,,
2026-02-06 11:51:39.750,159,2026-02-06 11:51:39.750,3.85818215,,,,,,,,,,,,,,
2026-02-06 11:51:39.830,160,2026-02-06 11:51:39.830,3.87861143,,,,,,,,,,,,,,
2026-02-06 11:51:39.930,161,2026-02-06 11:51:39.930,3.90400919,,,,,,,,,,,,,,
2026-02-06 11:51:40.030,162,2026-02-06 11:51:40.030,3.92931795,,,,,,,,,,,,,,
2026-02-06 11:51:40.184,163,2026-02-06 11:51:40.184,3.96808493,,,,,,,,,,,,,,
2026-02-06 11:51:40.230,164,2026-02-06 11:51:40.230,3.97959253,,,,,,,,,,,,,,
2026-02-06 11:51:40.330,165,2026-02-06 11:51:40.330,4.00459596,,,,,,,,,,,,,,
2026-02-06 11:51:40.430,166,2026-02-06 11:51:40.430,4.02948485,,,,,,,,,,,,,,
2026-02-06 11:51:40.637,167,2026-02-06 11:51:40.637,4.08074444,,,,,,,,,,,,,,
2026-02-06 11:51:40.730,168,2026-02-06 11:51:40.730,4.10358777,,,,,,,,,,,,,,
2026-02-06 11:51:40.840,169,2026-02-06 11:51:40.840,4.13050438,,,,,,,,,,,,,,
2026-02-06 11:51:40.930,170,2026-02-06 11:51:40.930,4.15248275,,,,,,,,,,,,,,
2026-02-06 11:51:41.030,171,2026-02-06 11:51:41.030,4.17678791,,,,,,,,,,,,,,
2026-02-06 11:51:41.184,172,2026-02-06 11:51:41.184,4.21404216,,,,,,,,,,,,,,
2026-02-06 11:51:41.230,173,2026-02-06 11:51:41.230,4.2250973,,,,,,,,,,,,,,
2026-02-06 11:51:41.330,174,2026-02-06 11:51:41.330,4.24911384,,,,,,,,,,,,,,
2026-02-06 11:51:41.448,175,2026-02-06 11:51:41.448,4.27722481,,,,,,,,,,,,,,
2026-02-06 11:51:41.530,176,2026-02-06 11:51:41.530,4.29683365,,,,,,,,,,,,,,
2026-02-06 11:51:41.630,177,2026-02-06 11:51:41.630,4.32055379,,,,,,,,,,,,,,
2026-02-06 11:51:41.730,178,2026-02-06 11:51:41.730,4.34420387,,,,,,,,,,,,,,
2026-02-06 11:51:41.830,179,2026-02-06 11:51:41.830,4.36773134,,,,,,,,,,,,,,
2026-02-06 11:51:41.930,180,2026-02-06 11:51:41.930,4.39117255,,,,,,,,,,,,,,
2026-02-06 11:51:42.030,181,2026-02-06 11:51:42.030,4.41452249,,,,,,,,,,,,,,
2026-02-06 11:51:42.130,182,2026-02-06 11:51:42.130,4.43776949,,,,,,,,,,,,,,
2026-02-06 11:51:42.230,183,2026-02-06 11:51:42.230,4.46093232,,,,,,,,,,,,,,
2026-02-06 11:51:42.330,184,2026-02-06 11:51:42.330,4.48400264,,,,,,,,,,,,,,
2026-02-06 11:51:42.430,185,2026-02-06 11:51:42.430,4.50697752,,,,,,,,,,,,,,
2026-02-06 11:51:42.530,186,2026-02-06 11:51:42.530,4.5298664,,,,,,,,,,,,,,
2026-02-06 11:51:42.630,187,2026-02-06 11:51:42.630,4.55266042,,,,,,,,,,,,,,
2026-02-06 11:51:42.781,188,2026-02-06 11:51:42.781,4.58682371,,,,,,,,,,,,,,
2026-02-06 11:51:42.830,189,2026-02-06 11:51:42.830,4.59796424,,,,,,,,,,,,,,
2026-02-06 11:51:42.930,190,2026-02-06 11:51:42.930,4.62054973,,,,,,,,,,,,,,
2026-02-06 11:51:43.059,191,2026-02-06 11:51:43.059,4.64930653,,,,,,,,,,,,,,
2026-02-06 11:51:43.132,192,2026-02-06 11:51:43.132,4.66568232,,,,,,,,,,,,,,
2026-02-06 11:51:43.230,193,2026-02-06 11:51:43.230,4.68753342,,,,,,,,,,,,,,
2026-02-06 11:51:43.330,194,2026-02-06 11:51:43.330,4.70969475,,,,,,,,,,,,,,
2026-02-06 11:51:43.454,195,2026-02-06 11:51:43.454,4.7371413,,,,,,,,,,,,,,
2026-02-06 11:51:43.530,196,2026-02-06 11:51:43.530,4.75375486,,,,,,,,,,,,,,
2026-02-06 11:51:43.630,197,2026-02-06 11:51:43.630,4.7756586,,,,,,,,,,,,,,
2026-02-06 11:51:43.730,198,2026-02-06 11:51:43.730,4.7974753,,,,,,,,,,,,,,
2026-02-06 11:51:43.830,199,2026-02-06 11:51:43.830,4.81919427,,,,,,,,,,,,,,
2026-02-06 11:51:43.930,200,2026-02-06 11:51:43.930,4.84083309,,,,,,,,,,,,,,
2026-02-06 11:51:44.030,201,2026-02-06 11:51:44.030,4.86237987,,,,,,,,,,,,,,
2026-02-06 11:51:44.204,202,2026-02-06 11:51:44.204,4.8997409,,,,,,,,,,,,,,
2026-02-06 11:51:44.241,203,2026-02-06 11:51:44.241,4.90754797,,,,,,,,,,,,,,
2026-02-06 11:51:44.330,204,2026-02-06 11:51:44.330,4.92652857,,,,,,,,,,,,,,
2026-02-06 11:51:44.430,205,2026-02-06 11:51:44.430,4.94774346,,,,,,,,,,,,,,
2026-02-06 11:51:44.530,206,2026-02-06 11:51:44.530,4.9688736,,,,,,,,,,,,,,
2026-02-06 11:51:44.630,207,2026-02-06 11:51:44.630,4.98993105,,,,,,,,,,,,,,
2026-02-06 11:51:44.750,208,2026-02-06 11:51:44.750,5.01500862,,,,,,,,,,,,,,
2026-02-06 11:51:44.830,209,2026-02-06 11:51:44.830,5.031768,,,,,,,,,,,,,,
2026-02-06 11:51:44.930,210,2026-02-06 11:51:44.930,5.05256847,,,,,,,,,,,,,,
2026-02-06 11:51:45.030,211,2026-02-06 11:51:45.030,5.07327607,,,,,,,,,,,,,,
2026-02-06 11:51:45.185,212,2026-02-06 11:51:45.185,5.10513535,,,,,,,,,,,,,,
2026-02-06 11:51:45.230,213,2026-02-06 11:51:45.230,5.11444894,,,,,,,,,,,,,,
2026-02-06 11:51:45.330,214,2026-02-06 11:51:45.330,5.13491606,,,,,,,,,,,,,,
2026-02-06 11:51:45.467,215,2026-02-06 11:51:45.467,5.16271453,,,,,,,,,,,,,,
2026-02-06 11:51:45.530,216,2026-02-06 11:51:45.530,5.17560275,,,,,,,,,,,,,,
2026-02-06 11:51:45.630,217,2026-02-06 11:51:45.630,5.19584051,,,,,,,,,,,,,,
2026-02-06 11:51:45.730,218,2026-02-06 11:51:45.730,5.21598642,,,,,,,,,,,,,,
2026-02-06 11:51:45.830,219,2026-02-06 11:51:45.830,5.23604266,,,,,,,,,,,,,,
2026-02-06 11:51:45.930,220,2026-02-06 11:51:45.930,5.25602546,,,,,,,,,,,,,,
2026-02-06 11:51:46.030,221,2026-02-06 11:51:46.030,5.27593557,,,,,,,,,,,,,,
2026-02-06 11:51:46.153,222,2026-02-06 11:51:46.153,5.30034027,,,,,,,,,,,,,,
2026-02-06 11:51:46.230,223,2026-02-06 11:51:46.230,5.31550826,,,,,,,,,,,,,,
2026-02-06 11:51:46.330,224,2026-02-06 11:51:46.330,5.33518076,,,,,,,,,,,,,,
2026-02-06 11:51:46.430,225,2026-02-06 11:51:46.430,5.35477286,,,,,,,,,,,,,,
2026-02-06 11:51:46.530,226,2026-02-06 11:51:46.530,5.37428667,,,,,,,,,,,,,,
2026-02-06 11:51:46.630,227,2026-02-06 11:51:46.630,5.39372998,,,,,,,,,,,,,,
2026-02-06 11:51:46.730,228,2026-02-06 11:51:46.730,5.41310432,,,,,,,,,,,,,,
2026-02-06 11:51:46.830,229,2026-02-06 11:51:46.830,5.43237374,,,,,,,,,,,,,,
2026-02-06 11:51:46.930,230,2026-02-06 11:51:46.930,5.45158678,,,,,,,,,,,,,,
2026-02-06 11:51:47.030,231,2026-02-06 11:51:47.030,5.47072012,,,,,,,,,,,,,,
2026-02-06 11:51:47.130,232,2026-02-06 11:51:47.130,5.48978451,,,,,,,,,,,,,,
2026-02-06 11:51:47.269,233,2026-02-06 11:51:47.269,5.51609545,,,,,,,,,,,,,,
2026-02-06 11:51:47.330,234,2026-02-06 11:51:47.330,5.52768823,,,,,,,,,,,,,,
2026-02-06 11:51:47.430,235,2026-02-06 11:51:47.430,5.54652066,,,,,,,,,,,,,,
2026-02-06 11:51:47.530,236,2026-02-06 11:51:47.530,5.5652776,,,,,,,,,,,,,,
2026-02-06 11:51:47.630,237,2026-02-06 11:51:47.630,5.58395988,,,,,,,,,,,,,,
2026-02-06 11:51:47.763,238,2026-02-06 11:51:47.763,5.60857305,,,,,,,,,,,,,,
